id,name,city_code,country_code,
1,Fethiye,917,TR,
2,Sao Jorge,1589,PT,
3,Windorf,3982,DE,
4,"New York, New York",961,US,
5,Aswan,6071,EG,
6,Tettenhausen,5558,DE,
7,Ising,5557,DE,
8,Rieden,5549,DE,
9,Zechlinerhütte,3493,DE,
10,Istanbul,924,TR,
11,Puerto Varas,7867,CL,
12,Hagnau am Bodensee,18076,DE,
13,Okurcalar - Karaburun,9976,TR,
14,Te Anau,1957,NZ,
15,Dahab,2,EG,
16,Isla Mujeres,2252,MX,
17,Huahine,3222,PF,
18,"San Francisco,California",1136,US,
19,Karongwe Game Reserve,9762,ZA,
20,Kruger National Park,2634,ZA,
21,Playa del Carmen / Playacar,515,MX,
22,Toscolano-Maderno,10680,IT,
23,Reykjavik,2513,IS,
24,Verona,2809,IT,
25,Mahe,5118,SC,
26,Hurghada,3,EG,
27,Balule Nature Reserve,4324,ZA,
28,"Melbourne,Victoria",3069,AU,
29,Rottach-Egern,4525,DE,
30,Sabi Sands Game Reserve,9895,ZA,
31,Stockholm,2814,SE,
32,Karoo National Park,9766,ZA,
33,Golden Gate Highlands,3901,ZA,
34,Saalbach,1931,AT,
35,Tsitsikamma,3903,ZA,
36,Ilulissat,14841,GL,
37,"Fort Myers,Florida",948,US,
38,Saragossa,655,ES,
39,Costa Adeje,994,ES,
40,Kangerlussuaq,14842,GL,
41,Icod de los Vinos,1430,ES,
42,"Fairbanks,Alaska",3088,US,
43,Wilderness,1893,ZA,
44,"Broome,Western Australia",4447,AU,
45,Kamanjab,17025,NA,
46,Puerto de la Cruz,843,ES,
47,Piesendorf,5189,AT,
48,Pratolino,2213,IT,
49,"Coffs Harbour,New South Wales",7941,AU,
50,Altenmarkt,4568,AT,
51,Borgarfjödur,14840,IS,
52,Damaraland,4329,NA,
53,Hvammstangi,14843,IS,
54,Hüttau,4106,AT,
55,Husavik,22976,IS,
56,Zauchensee,4109,AT,
57,Husafell,14845,IS,
58,Lisbon,555,PT,
59,Kreuzkap,9763,NA,
60,Ramsau am Dachstein,3775,AT,
61,Borganes,14705,IS,
62,Bardadalur,14848,IS,
63,Alpirsbach-Ehlenbogen,3691,DE,
64,Olafsfjördur,14846,IS,
65,Lüderitz,2638,NA,
66,"Albany,Minnesota",57166,US,
67,Marne-la-Vallee,4530,FR,
68,Ustronie Morskie,14433,PL,
69,Hredarvatn,14847,IS,
70,Tauplitz,3774,AT,
71,Baiersbronn,3688,DE,
72,"Ottawa,Ontario",4215,CA,
73,Porlamar,1844,VE,
74,Laugarvatn,11478,IS,
75,Bad Kudowa,10815,PL,
76,Elsbethen,10795,AT,
77,"Alcoa,Tennessee",19962,US,
78,Biskupstungur,14849,IS,
79,Colonia Sant Jordi,765,ES,
80,Scheffau,8660,AT,
81,Grimsnes,14850,IS,
82,Hanoi,1496,VN,
83,Fuschl am See,3005,AT,
84,"Seattle,Washington",1142,US,
85,Breidalur,14851,IS,
86,Selfoss,11483,IS,
87,Waidhofen an der Ybbs (Waidhofen on Ybbs),10792,AT,
88,Uthli,14852,IS,
89,"Anderson,South Carolina",19971,US,
90,Neukirchen bei Heiligen Blut,3674,DE,
91,Koh Samui,871,TH,
92,Tal Thjörsardalur,14853,IS,
93,Okahandja,1841,NA,
94,Fludir,14854,IS,
95,Retz,10793,AT,
96,Prackenbach,45611,DE,
97,Salou,2491,ES,
98,Ponta Delgada,2062,PT,
99,"Tallahassee,Florida",1339,US,
100,Waterberg-Nationalpark,27898,NA,
101,Bodenmais,3668,DE,
102,Söll,3043,AT,
103,Cayo Coco,448,CU,
104,"Ankeny,Iowa",19973,US,
105,"Atlanta,Georgia",1097,US,
106,Santa Ponsa,795,ES,
107,Bruck an der Glocknerstrasse,3039,AT,
108,Fuencaliente,724,ES,
109,Oberau,3048,AT,
110,"Tucson,Arizona",1144,US,
111,Rhodes Town,280,GR,
112,Brasilia,1287,BR,
113,Ho Chi Minh City,970,VN,
114,Ruhpolding,3650,DE,
115,Tel Aviv,1436,IL,
116,"Palm Cove,Queensland",17603,AU,
117,Sharm el Sheikh,9,EG,
118,"Appleton,Wisconsin",19976,US,
119,Oberammergau,3643,DE,
120,Curitiba,1290,BR,
121,Vielha,12167,ES,
122,Weerberg,10796,AT,
123,Tuttlingen,25889,DE,
124,Chiclayo,22062,PE,
125,Novalja,12225,HR,
126,Rosas,2476,ES,
127,Gouvia,163,GR,
128,Bad Hindelang,3637,DE,
129,Jaipur,8896,IN,
130,Mandre,12224,HR,
131,Glasgow,309,UK,
132,Puerto del Carmen,741,ES,
133,Schladming,3023,AT,
134,Cuenca,3610,EC,
135,Auerbach,25890,AT,
136,Marmaris,921,TR,
138,Lun,12666,HR,
139,Längenfeld,3141,AT,
140,Montegrotto Terme,369,IT,
141,Quito,3609,EC,
142,Pag,12227,HR,
143,Yalikavak,6390,TR,
144,"Nashville,Tennessee",1120,US,
145,Livingstone,10600,ZM,
146,Thessaloniki,1942,GR,
147,"Vancouver,British Columbia",4216,CA,
148,"Arlington,Texas",19979,US,
149,Costa Calma,664,ES,
150,Hinterglemm,2594,AT,
151,Kirchdorf,3044,AT,
152,La Paz,3608,BO,
153,Puno,7855,PE,
154,Ölüdeniz,2823,TR,
155,Kirchbichl,5976,AT,
156,Ouro Preto,1294,BR,
157,Brussels,2804,BE,
158,Cannigione,2120,IT,
159,Jandia / Playa de Jandia,665,ES,
160,Telfes,4553,AT,
161,"Salem,Illinois",36154,US,
162,"Campbell River,British Columbia",6124,CA,
163,"San Antonio,Texas",1133,US,
164,Penrith,23232,UK,
165,Bairbach,5977,AT,
166,Leicester,17495,UK,
167,Faliraki,269,GR,
168,Soriguerola,16829,ES,
169,Niederbreitenbach,5978,AT,
170,Ledrosee,13982,IT,
171,Benguerra Island,16964,MZ,
172,Bürserberg,36672,AT,
173,Lugano,2948,CH,
174,"San Juan Capistrano,California",36166,US,
175,"Beckley,West Virginia",19995,US,
176,Obermieming,4089,AT,
177,"Mentone,Victoria",32593,AU,
178,"Fort Lauderdale,Florida",1093,US,
179,Buenos Aires,3605,AR,
180,Balatonlelle,2749,HU,
181,Winterberg,3552,DE,
182,Niederau,3047,AT,
183,Rio de Janeiro,34,BR,
184,"Ballarat,Victoria",9157,AU,
185,"New Orleans,Louisiana",1121,US,
186,Skopelos Town,6422,GR,
187,Altenbrack,4610,DE,
188,"Salem,Virginia",20941,US,
189,Paris,93,FR,
190,Cuzco,522,PE,
191,La Pineda de Salou,3247,ES,
192,Meschede,3551,DE,
193,Roussospiti,28867,GR,
194,Filzmoos,3030,AT,
195,"Folsom,California",20539,US,
196,Madrid,622,ES,
197,Freyburg,3540,DE,
198,Stavromenos,14856,GR,
199,Pörtschach,2976,AT,
200,St Koloman,4090,AT,
201,L'Estartit,3245,ES,
202,Jerusalem,355,IL,
203,Antalya,930,TR,
204,Corralejo,663,ES,
205,St. Veit a. d. Glan,10798,AT,
206,Goslar,3524,DE,
207,Dienten,3033,AT,
208,Prague,897,CZ,
209,Cesme,1790,TR,
210,"Mount Dora,Florida",20813,US,
211,St. Peter-Freienstein,5992,AT,
212,"Salida,Colorado",36156,US,
213,Nuremburg,3931,DE,
214,St. Martin am Grimming,4570,AT,
215,Alanya,928,TR,
216,"Birmingham,Alabama",20013,US,
217,"Merimbula,New South Wales",30983,AU,
218,Mittersill,4564,AT,
219,Bad Bevensen-Medingen,3522,DE,
220,"Hampton,New Hampshire",34331,US,
221,Hollersbach,8744,AT,
222,Isla Suasi,27954,PE,
223,Shenzhen,14107,CN,
224,Maishofen,3771,AT,
225,Rome,1175,IT,
226,Salzburg,2807,AT,
227,Kusadasi,920,TR,
228,Leipzig,56,DE,
229,Hajduszoboszlo,4818,HU,
230,Saalfelden,3122,AT,
231,St. Wolfgang,2998,AT,
232,Hemel Hempstead,33124,UK,
233,Großarl,4201,AT,
234,Ilanz,37056,CH,
235,Laganas,292,GR,
236,"Salina,Kansas",20943,US,
237,Nümbrecht,3513,DE,
238,Pattaya,882,TH,
239,Leogang,3041,AT,
240,Kempton Park,56269,ZA,
241,Ixia,271,GR,
242,Heviz,941,HU,
243,Bonn,3922,DE,
244,Rauris,3037,AT,
245,Röbel,3487,DE,
246,Pieve di Ledro,4886,IT,
247,Ahlbeck,3476,DE,
248,Eger,3196,HU,
249,Neukirchen,3034,AT,
250,Ajaccio,9568,FR,
251,Saarbrücken,11517,DE,
